i,z,class
15.84381,15.58761,GALAXY
17.21374,17.06325,GALAXY
19.88976,19.49447,GALAXY
18.09306,18.11452,STAR
19.37403,19.16789,GALAXY
18.75594,18.3248,GALAXY
18.84449,18.42171,GALAXY
19.0712,18.8936,QSO
16.49351,16.42679,STAR
14.8654,14.792,STAR
17.49797,17.12659,GALAXY
19.71957,19.07278,GALAXY
19.7028,19.29925,GALAXY
20.28547,19.77966,GALAXY
19.04824,18.95114,GALAXY
14.56023,14.466,STAR
20.78895,19.96946,GALAXY
19.10321,18.75835,GALAXY
19.91976,19.60277,GALAXY
20.69877,19.88013,GALAXY
20.6741,20.77318,QSO
20.69217,20.70988,QSO
22.45994,22.28628,GALAXY
16.45486,16.40405,STAR
19.06427,18.59094,GALAXY
19.24695,18.79785,GALAXY
19.40349,18.97933,GALAXY
20.65956,21.24196,QSO
20.3571,19.89138,QSO
19.81627,19.29172,GALAXY
19.1938,19.12402,STAR
21.26009,21.3889,QSO
19.72942,19.27039,GALAXY
17.37278,17.03765,GALAXY
19.30117,18.76625,GALAXY
16.89986,16.86489,STAR
18.8257,18.95053,QSO
19.0724,18.51532,GALAXY
20.61741,19.88869,GALAXY
19.83976,19.3223,GALAXY
18.9303,18.60323,GALAXY
21.46062,21.14696,STAR
19.66581,19.15149,GALAXY
18.48363,18.59671,QSO
19.31393,19.27954,STAR
21.19928,20.75213,QSO
18.86826,18.36315,STAR
19.89271,19.61334,QSO
16.80774,16.61045,QSO
20.39133,20.246,STAR
20.34107,22.69209,STAR
17.08652,16.78416,GALAXY
18.57087,18.10213,GALAXY
17.33759,16.9562,GALAXY
19.59764,18.98739,GALAXY
21.18785,20.80724,QSO
18.29189,18.18077,GALAXY
18.17503,17.71553,GALAXY
20.86756,19.68048,GALAXY
20.13984,19.92203,QSO
21.34418,21.65549,QSO
20.08927,19.68025,GALAXY
17.19777,17.09724,STAR
19.91789,19.17534,STAR
21.27416,21.2877,QSO
21.18362,21.29888,GALAXY
16.79414,16.46355,STAR
21.92727,21.58225,GALAXY
19.53812,19.47434,STAR
17.35548,16.99465,GALAXY
21.07247,21.7259,GALAXY
22.1569,21.82262,GALAXY
22.45177,21.6412,GALAXY
17.12529,16.97439,GALAXY
20.83009,20.5248,STAR
20.06948,20.16311,QSO
18.84505,18.61052,STAR
20.01097,19.71334,STAR
17.91574,17.89508,STAR
18.32469,18.261,STAR
18.94152,18.75217,QSO
18.49617,18.40343,QSO
19.55067,19.32449,QSO
18.03069,17.96528,STAR
19.76277,18.34776,STAR
18.96794,18.57919,GALAXY
18.88516,18.39323,GALAXY
19.38742,18.68153,GALAXY
19.51101,19.07871,GALAXY
19.14149,18.72868,GALAXY
20.96556,19.14251,STAR
19.92407,19.4839,GALAXY
19.00121,18.63808,QSO
21.42723,21.29018,STAR
21.01249,20.95225,QSO
19.74652,19.22652,GALAXY
19.95094,19.62207,GALAXY
17.25187,16.9258,GALAXY
19.98217,19.49144,GALAXY
18.11621,17.66536,GALAXY
19.47476,19.11397,GALAXY
22.15011,22.38073,QSO
17.45808,17.26092,STAR
20.59026,19.90443,GALAXY
20.13162,19.70618,GALAXY
17.37691,17.12965,GALAXY
19.20899,19.18897,STAR
17.09921,16.81821,GALAXY
16.84686,16.60266,GALAXY
16.86671,16.51517,GALAXY
18.80913,18.37426,GALAXY
19.25142,18.71037,GALAXY
17.41137,17.32355,STAR
18.37543,18.36246,QSO
19.49447,18.92918,GALAXY
20.38717,20.44038,QSO
18.74599,18.65841,STAR
18.34827,18.30913,STAR
20.80571,21.01667,QSO
15.94394,15.90829,STAR
20.55078,20.50371,QSO
21.4406,21.67744,QSO
20.76857,20.48606,GALAXY
17.07861,16.74088,GALAXY
19.88241,19.4721,GALAXY
19.93462,19.46238,GALAXY
17.34627,16.98026,GALAXY
20.79138,20.63465,QSO
21.95233,21.32959,GALAXY
17.59754,17.51903,STAR
20.08261,19.4229,GALAXY
19.25665,18.61065,GALAXY
17.63048,17.20409,GALAXY
22.49736,22.1,QSO
18.35818,17.867,GALAXY
19.07283,18.56548,GALAXY
20.25653,19.43582,GALAXY
21.71659,21.77653,QSO
21.12407,22.28799,QSO
21.23432,21.10399,STAR
19.35376,19.01978,GALAXY
20.90475,21.76104,QSO
21.31571,21.09241,STAR
21.00259,20.77766,QSO
21.23032,20.97915,STAR
21.15866,20.94522,QSO
19.45618,18.83975,GALAXY
15.73288,15.41704,GALAXY
16.72077,16.51948,GALAXY
19.82907,19.33282,GALAXY
18.51831,18.09093,GALAXY
19.4943,18.87537,GALAXY
19.72931,19.23139,GALAXY
17.29526,17.03241,GALAXY
19.56796,19.12123,GALAXY
20.74663,23.16149,GALAXY
18.74496,18.76059,STAR
18.46854,18.37461,QSO
21.60349,20.68674,QSO
18.05325,17.94536,STAR
19.23584,19.16606,QSO
19.6799,19.20024,GALAXY
20.61283,20.60411,QSO
20.54782,20.53631,QSO
22.31283,22.21135,QSO
19.75576,19.84938,STAR
16.15548,15.78487,GALAXY
17.13206,16.75931,GALAXY
21.2759,20.70797,QSO
18.69476,18.17881,GALAXY
19.90735,19.39352,GALAXY
18.18581,17.87607,GALAXY
19.30491,19.27016,GALAXY
21.38731,21.0155,QSO
19.01501,19.20135,QSO
17.50832,17.48012,STAR
20.5357,20.39803,QSO
19.50789,19.39164,QSO
16.78942,15.99616,STAR
17.58017,17.30267,GALAXY
17.17165,16.83737,GALAXY
18.61021,18.15609,GALAXY
18.02381,17.94255,STAR
19.6528,19.55505,GALAXY
17.31273,17.23733,STAR
17.24698,17.12296,STAR
17.30249,17.17318,GALAXY
19.92338,19.35398,GALAXY
20.1526,20.34632,STAR
17.3997,17.3713,STAR
21.41237,21.91226,GALAXY
21.55597,21.44825,QSO
21.085,20.42371,QSO
20.8275,20.1769,QSO
18.97991,18.84109,GALAXY
20.98192,20.79887,QSO
19.53959,19.51718,STAR
21.87865,21.28702,GALAXY
17.52027,17.28698,GALAXY
20.36242,19.65986,GALAXY
18.51509,18.05744,GALAXY
21.0049,22.15899,STAR
21.15322,20.73187,QSO
16.11894,15.82864,GALAXY
16.29546,16.08566,STAR
17.94259,17.67924,STAR
20.68461,20.56573,QSO
16.76122,16.61457,GALAXY
20.19683,19.99408,QSO
19.13737,18.87372,STAR
20.34551,20.33727,STAR
21.33705,21.22654,QSO
21.3596,21.89721,STAR
17.35964,17.02614,GALAXY
18.29995,17.90523,GALAXY
21.09197,20.47017,QSO
20.7963,20.49197,QSO
21.31377,20.95402,QSO
19.5245,19.66751,STAR
16.85802,16.54608,GALAXY
20.49229,19.53073,GALAXY
18.83603,18.41807,GALAXY
21.51479,21.39653,STAR
18.67684,18.55898,QSO
17.74788,17.66426,STAR
18.34529,17.82846,STAR
21.33856,21.1658,QSO
22.49072,23.14925,GALAXY
19.62182,19.75512,GALAXY
20.6727,19.74375,GALAXY
17.16302,17.03585,STAR
21.84742,21.52089,QSO
17.12216,16.78013,GALAXY
19.05958,18.81141,GALAXY
20.62241,21.35367,STAR
17.32286,17.29534,STAR
17.30902,17.27431,STAR
18.2093,18.23122,QSO
20.90632,20.26178,STAR
20.17948,19.83287,GALAXY
20.19138,19.98023,QSO
20.72273,20.50634,QSO
20.85013,20.76755,QSO
18.16032,17.70632,GALAXY
19.44723,19.05784,GALAXY
17.31118,16.94075,GALAXY
17.32347,17.19109,GALAXY
20.43192,19.68349,GALAXY
16.46032,16.0832,GALAXY
17.59955,17.23075,GALAXY
19.40805,19.10392,GALAXY
19.97569,19.70525,GALAXY
17.61056,17.23293,GALAXY
19.24849,18.96611,STAR
16.29374,15.90485,GALAXY
21.76225,21.11835,STAR
19.15157,18.58818,GALAXY
18.54693,18.13709,GALAXY
18.26122,17.90344,GALAXY
21.10724,21.15852,GALAXY
20.99371,20.87445,QSO
19.64437,19.218,GALAXY
19.8101,19.49188,QSO
19.97148,19.52683,GALAXY
19.2177,18.90565,GALAXY
16.83914,16.71343,STAR
16.14996,15.78131,STAR
19.51916,18.83358,GALAXY
17.31789,17.152,GALAXY
21.28657,19.48272,STAR
20.17655,19.69413,QSO
16.16349,16.11329,STAR
21.15798,20.92717,STAR
18.63544,18.65387,QSO
20.94764,20.7476,QSO
18.93255,19.0028,STAR
16.88264,16.54942,GALAXY
19.14558,18.51288,GALAXY
17.72033,17.82962,STAR
20.1389,19.27711,GALAXY
19.61883,19.32262,GALAXY
18.94285,18.4764,GALAXY
19.27268,18.75334,GALAXY
16.44409,16.37746,STAR
21.13265,20.4509,STAR
19.22653,18.70492,GALAXY
19.13317,18.48417,GALAXY
16.62582,16.45875,STAR
17.72172,17.27247,GALAXY
20.54111,19.86993,STAR
19.88408,18.34078,STAR
19.22475,19.01373,STAR
18.75811,18.81981,QSO
20.14722,19.82765,GALAXY
20.97076,20.41387,QSO
19.89655,19.54684,QSO
20.72373,20.73308,QSO
16.90808,16.86251,STAR
20.69226,20.64224,QSO
19.36844,19.39242,QSO
20.10423,19.26538,STAR
20.41125,20.24284,STAR
17.77551,17.87586,STAR
19.70586,19.47556,QSO
21.54256,21.17188,STAR
21.34291,21.34392,GALAXY
18.86479,18.43744,GALAXY
16.19471,15.88311,GALAXY
19.34414,19.46921,GALAXY
20.75384,21.68363,STAR
17.0415,16.66885,GALAXY
18.43089,18.06496,GALAXY
16.40401,16.02207,GALAXY
18.38777,18.04149,GALAXY
19.03626,18.56294,GALAXY
18.98149,18.93615,QSO
20.19743,19.92446,QSO
17.95404,17.62117,GALAXY
19.38216,19.40838,STAR
20.54724,19.79667,STAR
21.1476,20.80094,GALAXY
20.79967,20.70992,GALAXY
19.55377,18.93238,GALAXY
20.44839,20.59756,STAR
16.43194,16.19016,STAR
18.48947,18.56207,QSO
20.19305,20.04759,QSO
20.41181,19.48317,STAR
21.11955,21.23171,QSO
19.13079,19.16005,QSO
20.81169,19.89214,GALAXY
21.39878,21.3046,QSO
21.53985,22.54353,GALAXY
20.70582,20.49755,GALAXY
18.61269,18.15599,GALAXY
17.76229,17.66146,QSO
17.2041,16.79166,GALAXY
19.89224,19.45808,GALAXY
20.96011,20.53935,GALAXY
20.59536,19.90631,STAR
19.68212,19.58446,STAR
19.49677,18.80757,GALAXY
15.86565,15.46838,GALAXY
20.38142,19.79096,GALAXY
21.72166,21.68252,QSO
19.80621,19.22653,GALAXY
20.5634,19.76479,GALAXY
19.53094,19.24389,GALAXY
16.8506,16.50846,GALAXY
19.51494,18.81488,GALAXY
21.32398,21.27027,STAR
18.2175,17.76183,GALAXY
17.08521,16.80727,GALAXY
21.45085,21.33426,QSO
17.89847,17.8588,STAR
20.78192,20.44152,QSO
16.87137,16.74318,STAR
19.75031,19.33526,GALAXY
19.1048,19.03101,QSO
19.8772,19.91346,STAR
19.71196,19.57404,STAR
18.52961,17.94435,STAR
21.27701,21.16481,QSO
20.0079,20.17703,QSO
19.87668,19.36736,GALAXY
20.0054,20.29256,STAR
19.30108,19.30861,QSO
22.29276,21.64015,QSO
18.66253,18.39674,GALAXY
19.20795,18.92608,GALAXY
21.22739,21.00265,GALAXY
20.91179,20.58103,GALAXY
19.22472,18.66707,GALAXY
17.66838,17.2611,GALAXY
20.3069,20.2032,QSO
20.84509,21.1984,GALAXY
19.39056,19.02423,QSO
19.60899,19.50039,STAR
18.03966,17.6679,GALAXY
16.45819,16.444,STAR
19.24674,18.62727,GALAXY
20.92367,20.42722,QSO
21.01439,20.63141,QSO
15.06725,14.83088,STAR
20.70483,20.78974,QSO
22.00153,21.96181,GALAXY
19.98113,18.57715,STAR
20.03064,20.00085,QSO
20.14839,19.23279,GALAXY
18.44385,18.34552,STAR
16.28555,15.93636,GALAXY
19.50282,19.06593,STAR
18.50274,18.12811,GALAXY
17.87175,18.14442,STAR
21.61721,21.29863,QSO
19.64733,19.05824,GALAXY
17.92584,17.46325,STAR
18.85423,18.42586,GALAXY
21.71148,21.96224,QSO
19.72872,19.37123,GALAXY
19.8374,19.51261,QSO
18.04889,17.69262,GALAXY
17.10121,17.04932,STAR
17.11231,16.73959,GALAXY
19.24432,18.84612,GALAXY
16.6997,16.31272,GALAXY
19.02634,18.99557,GALAXY
21.8876,21.20534,GALAXY
19.39833,19.07618,GALAXY
19.15832,19.38809,STAR
18.02251,17.89257,STAR
21.44998,21.78628,QSO
20.15319,21.71885,STAR
20.68941,21.19962,GALAXY
21.73875,18.73129,STAR
19.8313,19.38862,GALAXY
16.38011,16.01554,GALAXY
22.02443,21.06861,GALAXY
20.98847,20.81127,QSO
20.05347,19.91652,GALAXY
21.35637,21.63025,QSO
19.28269,19.2625,STAR
19.45089,19.28784,QSO
20.60392,20.48339,QSO
20.66886,19.92583,QSO
19.39608,19.52224,QSO
19.47356,19.32222,QSO
19.52539,18.97966,GALAXY
19.80291,19.26836,GALAXY
19.85246,19.39147,GALAXY
21.61401,20.87147,GALAXY
21.35284,21.01067,QSO
18.85429,18.48658,GALAXY
16.55548,16.20654,GALAXY
16.15556,15.79154,GALAXY
17.48573,17.35028,STAR
22.01438,21.30214,GALAXY
18.40859,18.06157,GALAXY
21.17533,21.10591,STAR
21.36617,20.95779,QSO
20.36599,20.20912,STAR
20.71332,20.68793,QSO
13.82999,13.47513,GALAXY
21.34162,21.0487,QSO
16.34538,15.93347,GALAXY
18.68429,18.35698,GALAXY
17.16268,16.80336,GALAXY
21.57308,21.05744,QSO
19.09872,18.05542,STAR
18.87629,18.44953,GALAXY
19.9383,19.43259,GALAXY
19.90358,19.64565,QSO
19.01016,18.79897,STAR
19.10217,18.54675,GALAXY
20.59141,19.79027,GALAXY
21.47334,20.94638,QSO
17.07172,16.71352,GALAXY
16.85445,16.47932,GALAXY
19.66562,19.53453,GALAXY
20.50635,20.68747,QSO
18.45229,18.13594,GALAXY
20.1565,20.32022,QSO
21.47787,21.52916,QSO
19.52897,19.38163,QSO
21.00702,20.91993,QSO
19.68881,19.54312,QSO
16.42807,16.0999,GALAXY
16.99594,16.77411,GALAXY
19.73706,19.27787,GALAXY
18.04406,17.64594,GALAXY
20.73411,20.30402,GALAXY
20.2121,19.77003,STAR
20.16148,19.92705,QSO
16.87151,16.85963,STAR
21.14099,21.34519,QSO
21.69013,21.95694,GALAXY
18.54842,18.10894,GALAXY
20.03777,20.05154,STAR
18.87512,18.80886,QSO
19.0746,18.72111,GALAXY
19.37239,19.43755,STAR
16.56464,16.20103,GALAXY
15.95905,15.62669,GALAXY
19.4525,19.09076,GALAXY
19.42319,19.73166,GALAXY
19.60205,18.95298,GALAXY
20.60972,19.83281,GALAXY
19.70441,19.38256,GALAXY
20.12284,19.71342,STAR
19.96866,19.72278,QSO
19.59921,19.69993,STAR
19.88198,19.45765,GALAXY
20.59736,19.78045,GALAXY
18.96968,18.53585,GALAXY
17.76096,17.32226,GALAXY
19.63974,19.22135,GALAXY
19.83675,18.82054,STAR
19.80157,19.16115,GALAXY
20.4376,19.6139,GALAXY
20.30888,19.51381,GALAXY
20.37923,19.60334,GALAXY
21.51852,21.40091,QSO
18.16832,18.0872,STAR
16.95774,16.71482,STAR
17.60254,17.60807,STAR
20.54948,18.82747,STAR
18.81573,18.69593,STAR
15.10639,15.00585,STAR
20.29077,19.67911,GALAXY
20.60255,19.87862,GALAXY
18.34169,17.97399,GALAXY
19.29098,18.63217,GALAXY
18.00567,17.70967,GALAXY
21.48933,19.80097,QSO
19.51228,19.20697,GALAXY
19.67424,17.68876,STAR
19.43703,19.30581,QSO
16.10701,16.13161,STAR
15.61018,15.46806,STAR
16.7986,16.78512,STAR
20.73313,21.10119,STAR
20.00925,20.04988,QSO
20.23025,19.97118,QSO
19.37457,18.95564,GALAXY
18.48362,18.10173,GALAXY
19.94367,19.62357,GALAXY
18.49264,18.02486,GALAXY
21.10752,20.9109,STAR
19.94822,19.88351,STAR
18.92303,18.88109,STAR
19.61373,19.60177,GALAXY
15.93134,15.51555,GALAXY
17.39002,16.98721,GALAXY
19.60056,19.02272,GALAXY
20.63561,20.75003,QSO
19.85865,19.51558,GALAXY
19.14058,18.61784,GALAXY
19.16395,18.606,GALAXY
19.7522,19.36987,GALAXY
21.62473,21.81498,QSO
19.40238,18.90641,GALAXY
16.21125,15.85772,GALAXY
15.8998,15.55557,GALAXY
15.87057,15.5397,GALAXY
16.89106,16.63826,GALAXY
18.16718,18.09916,STAR
19.14692,18.68375,GALAXY
16.52099,16.46957,STAR
17.09919,16.9779,STAR
18.25294,17.07578,STAR
19.7345,19.18988,GALAXY
18.83725,18.45953,GALAXY
19.76511,19.22145,GALAXY
19.54843,19.0456,GALAXY
19.40581,18.75904,GALAXY
20.50177,19.30535,GALAXY
20.63246,19.91491,GALAXY
18.24914,17.9465,GALAXY
20.13892,20.30639,QSO
22.30268,22.96571,QSO
18.44592,18.07266,GALAXY
17.68482,17.36099,GALAXY
20.56519,19.63541,GALAXY
19.30669,18.69286,GALAXY
14.03796,13.56074,STAR
17.09187,16.98095,GALAXY
17.43303,17.0312,GALAXY
15.88643,15.55544,GALAXY
19.8177,19.66881,QSO
20.12767,19.92836,QSO
19.55788,19.19525,GALAXY
18.49476,17.99232,GALAXY
19.24031,19.05849,QSO
19.45195,18.8736,GALAXY
18.27163,17.76944,GALAXY
20.06228,19.55717,GALAXY
18.81245,18.48374,GALAXY
20.74651,20.32532,STAR
18.43808,18.48297,QSO
21.72428,22.02931,QSO
19.75917,19.23956,GALAXY
17.13705,17.00092,STAR
19.14203,19.04883,STAR
14.42635,14.26351,STAR
17.91723,17.90894,STAR
21.85834,21.12778,GALAXY
18.85107,18.43854,GALAXY
20.13957,19.49945,GALAXY
21.63947,21.23952,QSO
21.44944,21.23387,QSO
20.67309,20.57794,QSO
20.04717,19.69601,GALAXY
19.35232,19.41215,QSO
20.34834,20.5212,STAR
21.47689,21.41508,STAR
18.95596,18.81336,STAR
18.95075,19.00201,STAR
18.84292,18.45431,QSO
17.84421,17.85544,QSO
16.49533,16.47397,STAR
20.20188,21.608,STAR
18.53523,18.23391,STAR
17.73373,17.34546,GALAXY
16.71968,16.48973,GALAXY
20.28532,20.28445,QSO
19.63115,19.04246,GALAXY
19.7955,19.67694,GALAXY
20.56605,20.48877,QSO
20.75842,20.56014,STAR
19.61161,19.53423,GALAXY
20.24835,19.97668,GALAXY
20.85551,19.9922,GALAXY
20.97768,20.82179,STAR
19.03309,18.42711,GALAXY
20.95388,20.69961,QSO
20.87739,20.91522,QSO
19.77791,19.33821,GALAXY
19.16806,18.70801,GALAXY
19.30978,18.91806,GALAXY
21.11511,19.8245,GALAXY
19.73722,19.46974,GALAXY
21.48301,20.82819,QSO
20.42003,21.57125,QSO
16.85449,16.54191,STAR
20.82516,21.11276,QSO
14.98995,14.89966,STAR
19.40605,19.11218,GALAXY
15.84626,15.68902,GALAXY
19.42907,19.00438,GALAXY
15.85954,15.49824,GALAXY
16.54831,16.21751,GALAXY
15.97107,15.60213,GALAXY
16.3824,16.04212,GALAXY
18.86718,18.60215,GALAXY
21.51311,21.20634,GALAXY
21.33485,21.4998,STAR
19.67798,19.45491,STAR
18.07766,17.98073,STAR
21.17206,21.99548,QSO
19.29456,19.47394,QSO
17.49288,17.558,STAR
19.5397,19.73715,QSO
15.87492,15.8118,STAR
20.83886,20.74843,QSO
19.8803,19.68947,QSO
16.04835,15.72769,GALAXY
21.29136,21.48242,QSO
19.53357,18.96269,GALAXY
21.47909,21.36829,STAR
21.01865,20.72433,QSO
18.35814,17.99642,GALAXY
15.5837,15.48292,GALAXY
19.86005,19.28687,GALAXY
20.88021,19.76118,GALAXY
19.58125,19.27213,GALAXY
18.65924,18.51058,GALAXY
20.62731,19.94733,STAR
20.53965,20.66191,QSO
18.28298,17.95185,GALAXY
17.82168,17.73573,STAR
21.94707,20.98321,QSO
21.79564,21.30728,GALAXY
19.99111,19.49706,QSO
20.64396,20.50431,QSO
20.33748,20.16095,QSO
20.55767,18.30277,QSO
20.53562,20.3172,QSO
18.859,18.42587,STAR
17.07516,16.7272,GALAXY
22.13238,21.9523,QSO
22.15348,21.77717,GALAXY
19.49771,19.48267,STAR
18.35536,18.02384,STAR
18.76359,18.35633,QSO
20.51968,20.28767,STAR
21.68812,21.18601,GALAXY
21.42505,21.31072,GALAXY
18.48094,18.34713,STAR
19.04134,18.63493,GALAXY
18.22249,17.77029,GALAXY
16.42954,16.24563,GALAXY
19.9172,19.60726,QSO
20.13943,19.41239,GALAXY
20.66512,20.56085,GALAXY
22.08081,21.48726,GALAXY
18.68438,18.35246,QSO
17.22156,16.98356,STAR
18.75013,18.74397,STAR
20.54402,19.77334,GALAXY
17.43109,17.10964,GALAXY
15.74948,15.70905,STAR
20.68912,19.86045,GALAXY
19.86069,19.61757,QSO
16.63068,16.24103,GALAXY
20.45412,20.19856,QSO
18.50652,18.43438,STAR
19.51542,19.06858,GALAXY
20.2837,20.11298,STAR
21.05607,21.19689,STAR
14.62319,14.58427,STAR
21.71796,21.66843,QSO
19.93929,19.68984,QSO
16.83683,16.47681,GALAXY
16.43725,16.10858,GALAXY
16.26323,15.97546,GALAXY
17.72354,17.31522,GALAXY
18.74689,18.23894,GALAXY
16.82677,16.73653,STAR
15.41762,15.16577,STAR
15.28789,15.25077,STAR
21.23055,20.66279,QSO
19.6619,19.42052,QSO
16.47266,16.13197,GALAXY
19.66694,19.28679,GALAXY
20.84764,20.49473,QSO
21.12282,21.22125,GALAXY
19.89392,19.66747,STAR
18.15426,17.75444,GALAXY
20.62681,20.85187,QSO
21.05626,22.1667,GALAXY
22.33003,21.44483,GALAXY
20.86613,19.28788,STAR
19.97435,19.7072,STAR
17.6155,17.62354,STAR
16.53046,16.49461,STAR
19.39697,18.94359,STAR
21.36525,20.89602,GALAXY
20.13233,19.63372,QSO
16.60784,16.21522,GALAXY
17.49158,17.38485,STAR
17.46576,17.29263,STAR
16.92526,16.5849,GALAXY
18.76309,18.2426,GALAXY
17.24776,16.87252,GALAXY
19.97569,19.75729,QSO
21.87454,21.79273,QSO
16.99323,16.77995,STAR
20.44197,19.68843,GALAXY
20.8465,20.93215,QSO
21.31785,21.48502,STAR
20.8134,20.68378,QSO
19.80991,19.3393,GALAXY
17.36752,17.00738,GALAXY
20.96439,19.66005,GALAXY
20.37707,19.65331,GALAXY
18.63905,18.63141,STAR
21.67342,21.5029,QSO
20.81019,20.11399,STAR
20.35259,20.54012,GALAXY
21.03624,20.72419,QSO
21.03255,20.63483,GALAXY
19.49902,18.89172,GALAXY
18.38379,17.95478,GALAXY
18.75429,18.21462,GALAXY
18.72531,18.4215,GALAXY
20.06062,19.61415,GALAXY
20.22806,19.578,GALAXY
20.71828,21.09769,QSO
21.36938,20.99025,QSO
19.31568,18.86592,GALAXY
20.6908,20.53271,QSO
20.32286,20.09636,QSO
19.50438,18.81879,STAR
19.80651,19.42198,QSO
20.88064,20.51899,STAR
20.23446,19.52306,STAR
20.46686,19.80913,GALAXY
16.95345,16.79665,STAR
21.3311,21.47812,GALAXY
16.23116,15.87517,GALAXY
20.65172,19.56988,GALAXY
17.12447,16.79285,GALAXY
21.08071,19.86912,GALAXY
17.41166,17.02996,GALAXY
16.1205,15.77694,GALAXY
19.38769,18.81603,QSO
20.97407,20.55536,GALAXY
15.36893,15.0834,GALAXY
20.83963,20.96238,QSO
15.38198,15.32403,STAR
18.64575,18.64551,QSO
20.04388,19.63313,GALAXY
18.6058,18.53573,QSO
17.37482,17.02479,GALAXY
21.23019,21.30297,QSO
21.93367,21.69821,QSO
20.85109,20.76894,QSO
17.57293,17.24578,GALAXY
19.62043,19.52793,STAR
17.74607,17.6413,STAR
17.76161,17.69176,STAR
18.51255,18.06701,STAR
19.67633,19.32634,GALAXY
18.77893,18.31465,QSO
20.58114,19.941,GALAXY
16.19924,15.78789,GALAXY
16.58304,16.24901,GALAXY
19.71663,19.21977,GALAXY
21.51787,21.47332,QSO
16.47845,16.35477,STAR
18.68579,18.215,GALAXY
19.10339,18.62421,GALAXY
18.68422,18.64688,STAR
18.49058,18.24036,GALAXY
20.33631,19.65554,GALAXY
18.61946,18.17596,GALAXY
21.46894,20.94425,QSO
19.48676,19.02914,GALAXY
21.2821,21.85913,STAR
18.90263,18.94642,QSO
20.54649,19.88111,QSO
17.27145,17.00578,STAR
16.84787,16.58038,STAR
20.1877,20.17199,QSO
16.64435,16.3666,GALAXY
21.4097,21.29985,QSO
20.27154,20.03561,QSO
20.27177,19.70663,STAR
22.62892,22.41803,GALAXY
19.77167,19.66361,STAR
17.94078,17.77651,STAR
16.19897,15.88653,GALAXY
16.92193,16.80941,GALAXY
18.94388,18.92859,STAR
20.96238,21.02283,QSO
24.68951,21.7053,QSO
20.66478,20.2705,GALAXY
19.76819,19.15146,GALAXY
19.65708,19.48465,STAR
19.0718,19.00834,STAR
17.9146,18.01665,QSO
16.95569,16.73724,GALAXY
18.49127,17.78759,GALAXY
20.0414,19.48946,GALAXY
19.18367,18.71665,GALAXY
15.91689,15.55057,GALAXY
19.68173,19.17455,GALAXY
19.61674,19.14106,GALAXY
17.28685,16.93538,GALAXY
18.758,18.41322,GALAXY
21.37971,20.90765,GALAXY
18.08762,18.09656,GALAXY
21.06007,20.72782,QSO
20.70064,20.25285,GALAXY
16.10091,15.28465,STAR
19.63728,19.38136,QSO
15.29156,15.22619,STAR
19.92607,19.50837,GALAXY
20.3476,20.47929,STAR
19.24595,18.71274,GALAXY
17.56433,17.35052,STAR
18.50055,18.48438,STAR
20.19353,19.75522,GALAXY
20.88971,20.64141,STAR
19.04583,19.1576,QSO
16.90025,16.71193,STAR
21.01558,21.01045,GALAXY
20.08188,19.93141,STAR
19.30317,19.01744,GALAXY
19.31291,19.26567,STAR
20.08445,19.73287,GALAXY
21.04641,20.75404,QSO
21.46165,21.3392,QSO
18.45469,17.96932,GALAXY
16.86702,16.50564,GALAXY
19.06199,18.99032,STAR
18.97882,19.09617,QSO
20.57295,19.76614,GALAXY
16.77469,16.58735,GALAXY
16.97064,16.71143,GALAXY
19.55711,19.22288,QSO
19.74307,19.31926,GALAXY
15.61723,15.59794,STAR
19.02784,18.74723,STAR
20.64638,20.50068,QSO
16.314,16.0517,STAR
20.5982,20.9796,STAR
19.81026,19.22052,STAR
16.67729,16.40978,GALAXY
18.72848,18.26801,GALAXY
18.93262,18.18365,STAR
17.28643,16.89747,GALAXY
17.51614,17.12797,GALAXY
16.78007,16.40365,GALAXY
19.44725,18.96879,GALAXY
19.71693,19.55805,STAR
21.81506,22.26879,GALAXY
19.35374,19.18082,QSO
19.73871,19.27849,GALAXY
20.56541,19.73058,GALAXY
19.51564,18.95595,GALAXY
18.71027,18.23566,GALAXY
15.68437,15.44987,STAR
18.61004,18.59473,QSO
18.52893,18.11049,GALAXY
19.19579,18.70277,GALAXY
19.77524,19.52937,QSO
20.89532,20.58155,QSO
18.57182,18.17675,GALAXY
19.45766,19.05528,GALAXY
20.95827,20.99182,QSO
18.93497,18.66603,GALAXY
16.33887,16.03987,GALAXY
16.42012,16.14971,GALAXY
12.65683,12.36843,GALAXY
19.94908,19.67033,QSO
16.56391,15.82449,STAR
20.27593,20.01094,STAR
21.23427,20.60481,QSO
18.63826,18.18729,GALAXY
19.54396,18.9039,GALAXY
19.11928,18.89077,GALAXY
17.53337,17.44002,GALAXY
17.79585,17.74969,STAR
20.0483,19.50562,GALAXY
21.09412,20.6586,QSO
19.86115,19.82544,STAR
19.39837,19.04383,GALAXY
17.01507,16.75366,GALAXY
18.42064,17.93905,GALAXY
20.55839,20.45721,QSO
19.37193,18.98767,GALAXY
22.42054,22.6893,QSO
21.23213,22.8269,QSO
17.80042,17.51928,STAR
18.76657,18.74578,STAR
16.85989,16.54842,GALAXY
18.21994,17.81793,GALAXY
17.55069,17.17498,GALAXY
20.20625,20.37117,QSO
19.93612,19.7657,QSO
19.27738,19.09509,QSO
20.80084,20.74936,QSO
21.50565,19.91745,GALAXY
